time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1717862009.94699287,0.00780593,9600,0.00101705,0.00000000,0,0.00000000,32998,33317,494,0.00131981
1717862010.04715514,0.01074659,9656,0.00134005,0.00000000,0,0.00000000,33317,33649,532,0.00091521
1717862010.14868021,0.00875590,9785,0.00115210,0.00000000,0,0.00000000,33649,33931,515,0.00094932
1717862010.25023985,0.00912953,9678,0.00120555,0.00000000,0,0.00000000,33931,34315,617,0.00153631
1717862010.35042286,0.00914911,9662,0.00150704,0.00000000,0,0.00000000,34315,34744,749,0.00085429
1717862010.45261860,0.01084403,9545,0.00148374,0.00000000,0,0.00000000,34744,34945,572,0.00109701
1717862010.55413842,0.01082787,9577,0.00164829,0.00000000,0,0.00000000,34945,35275,657,0.00092578
1717862010.65436530,0.01069548,9610,0.00211091,0.00000000,0,0.00000000,34876,35232,668,0.00151031
1717862010.75523996,0.00902088,9621,0.00114565,0.00000000,0,0.00000000,35232,35522,544,0.00174984
1717862010.85609365,0.00836328,9578,0.00090231,0.00000000,0,0.00000000,35522,35764,429,0.00117139
1717862010.95626760,0.00808765,9667,0.00095637,0.00000000,0,0.00000000,35764,35986,416,0.00138265
1717862011.05849576,0.00758576,9667,0.00077703,0.00000000,0,0.00000000,35986,36187,401,0.00161689
1717862011.15868807,0.01121264,9732,0.00134878,0.00000000,0,0.00000000,36187,36397,455,0.00125944
1717862011.26085162,0.00828565,9779,0.00112874,0.00000000,0,0.00000000,36397,36601,500,0.00142733
1717862011.36173439,0.00914132,9589,0.00124843,0.00000000,0,0.00000000,36601,36716,410,0.00155713
1717862011.46198153,0.00911523,9663,0.00111244,0.00000000,0,0.00000000,36716,36854,413,0.00092043
1717862011.56412005,0.00864637,9826,0.00106724,0.00000000,0,0.00000000,36854,37155,550,0.00096347
1717862011.66567445,0.01001650,9604,0.00114225,0.00000000,0,0.00000000,37155,37326,444,0.00122775
1717862011.76584792,0.00989195,9663,0.00116871,0.00000000,0,0.00000000,37326,37566,432,0.00135519
1717862011.86740971,0.00830667,9662,0.00100045,0.00000000,0,0.00000000,37566,37795,448,0.00092905
1717862011.96826792,0.00959826,9663,0.00094598,0.00000000,0,0.00000000,37795,37941,367,0.00094265
1717862012.06844950,0.00905440,9750,0.00099301,0.00000000,0,0.00000000,37941,38074,381,0.00135273
1717862012.16998053,0.01226513,9535,0.00158215,0.00000000,0,0.00000000,38074,38647,1040,0.00126803
1717862012.27156663,0.00801131,9535,0.00103592,0.00000000,0,0.00000000,38647,38770,389,0.00093120
1717862012.37178206,0.01048488,9650,0.00110856,0.00000000,0,0.00000000,38770,39028,553,0.00138534
1717862012.47323275,0.01053405,9685,0.00140825,0.00000000,0,0.00000000,39028,39329,960,0.00113128
1717862012.57827115,0.01152992,9661,0.00180517,0.00000000,0,0.00000000,39329,39523,586,0.00091755
1717862012.67565465,0.01057667,9545,0.00132228,0.00000000,0,0.00000000,39523,39758,535,0.00157899
1717862012.77649307,0.01044879,9556,0.00090508,0.00000000,0,0.00000000,39758,39965,399,0.00091771
1717862012.87737131,0.00990761,9695,0.00098363,0.00000000,0,0.00000000,39965,40123,381,0.00149663
1717862012.97756815,0.00967211,9684,0.00064873,0.00000000,0,0.00000000,40123,40285,318,0.00094228
1717862013.07978034,0.01103572,9562,0.00125938,0.00000000,0,0.00000000,40285,40381,359,0.00172622
1717862013.18066168,0.00939317,9639,0.00099263,0.00000000,0,0.00000000,40381,40492,363,0.00153280
1717862013.28082490,0.00937336,9517,0.00090158,0.00000000,0,0.00000000,40492,40565,333,0.00128530
1717862013.38235903,0.00958116,9457,0.00075052,0.00000000,0,0.00000000,40565,40703,315,0.00088624
1717862013.48324847,0.01026222,9640,0.00097446,0.00000000,0,0.00000000,40703,40807,429,0.00118010
1717862013.58411884,0.01007113,9574,0.00082455,0.00000000,0,0.00000000,40807,40991,412,0.00210294
1717862013.68569279,0.00963867,9440,0.00078464,0.00000000,0,0.00000000,40991,41186,398,0.00150069
1717862013.78584266,0.00952679,9530,0.00110310,0.00000000,0,0.00000000,41186,41242,417,0.00089069
1717862013.88669848,0.00977330,9597,0.00101663,0.00000000,0,0.00000000,41242,41402,422,0.00115304
1717862013.98889947,0.00999041,9589,0.00087042,0.00000000,0,0.00000000,41402,41660,429,0.00197859
1717862014.08908749,0.00963631,9599,0.00091833,0.00000000,0,0.00000000,41660,41772,388,0.00121147
1717862014.19067168,0.00999567,9518,0.00104675,0.00000000,0,0.00000000,41772,41938,445,0.00162030
1717862014.29280257,0.00987906,9605,0.00092068,0.00000000,0,0.00000000,41938,42129,414,0.00154535
1717862014.39300323,0.01062726,9577,0.00115551,0.00000000,0,0.00000000,42129,42349,507,0.00146505
1717862014.49456334,0.00995716,9601,0.00131167,0.00000000,0,0.00000000,42349,42640,530,0.00088186
1717862014.59543729,0.00909931,9531,0.00141508,0.00000000,0,0.00000000,42640,42436,509,0.00178417
1717862014.69560909,0.00889081,9440,0.00106242,0.00000000,0,0.00000000,42436,42714,443,0.00160878
1717862014.79716730,0.00846413,9519,0.00090271,0.00000000,0,0.00000000,42714,43009,490,0.00122325
1717862014.89892554,0.00880430,9669,0.00127215,0.00000000,0,0.00000000,43009,43234,521,0.00168959
1717862014.99823976,0.00864098,9631,0.00105708,0.00000000,0,0.00000000,43234,43349,386,0.00162238
1717862015.10039449,0.00802900,9533,0.00098834,0.00000000,0,0.00000000,43349,43642,504,0.00093293
1717862015.20192432,0.00762474,9542,0.00118993,0.00000000,0,0.00000000,43642,43894,508,0.00140473
1717862015.30212736,0.00941329,9591,0.00160958,0.00000000,0,0.00000000,43894,44196,536,0.00125169
1717862015.40302110,0.00834666,9592,0.00108217,0.00000000,0,0.00000000,44196,44460,521,0.00152356
1717862015.50468254,0.00794047,9635,0.00098429,0.00000000,0,0.00000000,44460,44680,447,0.00128796
1717862015.60473990,0.00786270,9569,0.00093008,0.00000000,0,0.00000000,44680,44856,447,0.00138443
1717862015.70632219,0.00839171,9538,0.00079966,0.00000000,0,0.00000000,44856,45031,359,0.00153429
1717862015.80847597,0.00737166,9660,0.00075201,0.00000000,0,0.00000000,45031,45226,364,0.00159226
1717862015.90869784,0.00804228,9736,0.00071238,0.00000000,0,0.00000000,45226,45382,317,0.00170333
1717862016.01018333,0.00819333,9802,0.00065330,0.00000000,0,0.00000000,45382,45517,313,0.00124128
1717862016.11176252,0.00786959,9749,0.00076677,0.00000000,0,0.00000000,45517,45587,324,0.00139517
1717862016.21193981,0.00852403,9747,0.00108971,0.00000000,0,0.00000000,45587,45642,362,0.00155073
1717862016.31345081,0.00782147,9795,0.00108238,0.00000000,0,0.00000000,45642,45906,493,0.00123792
1717862016.41432095,0.00776484,9727,0.00109840,0.00000000,0,0.00000000,45906,46006,391,0.00161735
1717862016.51516843,0.00732462,9714,0.00087981,0.00000000,0,0.00000000,46006,46233,428,0.00101935
1717862016.61603761,0.00815609,9774,0.00084868,0.00000000,0,0.00000000,46233,46415,379,0.00109397
